scan_time_utc,ticker,price,market_score,event_score,alignment_bonus,final_score,confidence_label,event_bias,signal_count,days_since_latest_event,event_tags,market_reason,event_reason,merged_reason,market_cap,float_shares,rel_volume,news_score,short_interest_score,compression_score,breakout_score,trend_score,premarket_gap_score,repeat_count_30d,company_name,sec_insider_score,congressional_score,procurement_score,ownership_score,base_weighted_score,scan_date,dollar_volume,vol_expansion_score,social_score,insider_score,total_score,reason,scan_time_utc_x,event_intel_score_x,sec_insider_score_x,event_tags_x,event_intel_reason_x,anomaly_score_x,anomaly_label_x,anomaly_flags_x,baseline_sample_size_x,scan_time_utc_y,event_intel_score_y,sec_insider_score_y,anomaly_score_y,anomaly_label_y,anomaly_flags_y,baseline_sample_size_y,event_tags_y,event_intel_reason_y,event_intel_score,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size,event_intel_reason
2026-03-17T19:09:39Z,TOI,3.61,,,,,,,,,,,,,356809312,80221803.0,1.53,3.0,1.0,0.0,3.0,2.0,0.0,1,,0.0,,,,,2026-03-17,11653812.49,3.0,1.0,0.0,14.54,"multi-day volume expansion, near breakout, trend improving, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,No Baseline,,0.0,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set"
2026-03-17T19:09:38Z,TALK,5.14,,,,,,,,,"buy, form4, insider, parsed, sell, tax_withholding",,,,857541760,128503172.0,1.67,3.0,0.0,1.0,2.0,3.0,0.0,1,,9.75,,,,,2026-03-17,50851409.17,3.0,1.0,0.0,14.31,"multi-day volume expansion, near breakout, trend improving, elevated news flow, retail attention",,,,,,,,,,,,,,,,,,,3.9,0.0,No Baseline,,0.0,"meaningful insider filing activity, latest event 1 day(s) ago, insider selling detected for talk"
2026-03-17T19:08:22Z,FINV,6.05,,,,,,,,,,,,,1573361664,603949278.0,2.21,0.0,0.0,0.0,3.0,3.0,0.0,3,,0.0,,,,,2026-03-17,13425133.51,3.0,1.0,0.0,13.56,"unusual volume, multi-day volume expansion, near breakout, trend improving, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,2.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T19:09:39Z,TME,11.47,,,,,,,,,,,,,19309369344,1122936726.0,8.78,3.0,0.0,0.0,0.0,0.0,0.0,1,,0.0,,,,,2026-03-17,612439831.66,3.0,1.0,0.0,12.5,"unusual volume, multi-day volume expansion, elevated news flow, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,No Baseline,,0.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T19:08:44Z,MVST,1.62,,,,,,,,,"buy, form4, insider, open_market_sale, parsed, sell",,,,533297120,199168684.0,6.42,0.0,1.5,0.0,0.0,0.0,0.0,2,,8.22,,,,,2026-03-17,34438005.88,3.0,1.0,0.0,12.0,"unusual volume, multi-day volume expansion, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,3.29,0.0,Baseline Building,,1.0,"meaningful insider filing activity, latest event 4 day(s) ago, insider accumulation detected for mvst"
2026-03-17T19:08:08Z,ABSI,2.99,,,,,,,,,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",,,,449595872,132323940.0,1.94,1.0,3.0,0.0,0.0,2.0,0.0,1,,9.75,,,,,2026-03-17,16155114.99,3.0,1.0,0.0,11.82,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,3.9,0.0,No Baseline,,0.0,"meaningful insider filing activity, latest event 1 day(s) ago, insider accumulation detected for absi"
2026-03-17T19:08:21Z,CTMX,5.47,,,,,,,,,"buy, form4, insider, parsed",,,,926811584,123351351.0,1.78,1.0,1.0,0.0,0.0,3.0,0.0,4,,5.2,,,,,2026-03-17,83989702.54,3.0,1.0,0.0,11.63,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,2.08,0.0,Within Baseline,,3.0,"recent insider filings, latest event 41 day(s) ago, insider accumulation detected for ctmx"
2026-03-17T19:09:01Z,PCT,5.38,,,,,,,,,"buy, form4, insider, parsed, sell, tax_withholding",,,,970721920,141602584.0,1.9,3.0,3.0,0.0,0.0,0.0,0.0,1,,7.36,,,,,2026-03-17,52565102.75,2.35,1.0,0.0,11.01,"multi-day volume expansion, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,2.94,0.0,No Baseline,,0.0,"meaningful insider filing activity, latest event 14 day(s) ago, insider selling detected for pct"
2026-03-17T19:08:47Z,OBE,8.53,,,,,,,,,,,,,576609856,60376354.0,1.56,3.0,1.5,1.0,1.0,3.0,0.0,1,,0.0,,,,,2026-03-17,8808631.94,0.26,0.5,0.0,10.94,"trend improving, elevated news flow, short squeeze potential",,,,,,,,,,,,,,,,,,,0.0,0.0,No Baseline,,0.0,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set"
2026-03-17T19:08:15Z,ALOY,13.6,,,,,,,,,"form4, insider, unparsed",,,,776711936,53935198.0,1.82,3.0,0.0,0.0,0.0,2.0,0.0,8,,1.95,,,,,2026-03-17,32609088.11,1.85,1.0,0.0,10.9,"multi-day volume expansion, trend improving, elevated news flow, retail attention",,,,,,,,,,,,,,,,,,,0.78,0.0,Within Baseline,,5.0,"recent insider filings, latest event 12 day(s) ago, recent form 4 filing for aloy"
2026-03-17T19:08:48Z,OCGN,2.55,,,,,,,,,,,,,834498624,322732914.0,1.51,0.5,2.5,0.0,1.0,3.0,1.0,1,,0.0,,,,,2026-03-17,36858093.4,0.0,1.0,0.0,9.41,"trend improving, short squeeze potential, gap strength, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,No Baseline,,0.0,"no event-intel signals; SEC=recent Form 4 filings found, but no actionable transactions parsed; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set"
2026-03-17T19:09:42Z,VIA,14.3,,,,,,,,,"administrative, form4, insider, parsed",,,,1161000064,60173089.0,1.54,3.0,1.0,0.0,0.0,0.0,0.0,1,,1.25,,,,,2026-03-17,21953217.29,3.0,1.0,0.0,9.35,"multi-day volume expansion, elevated news flow, short squeeze potential, retail attention",,,,,,,,,,,,,,,,,,,0.5,0.0,No Baseline,,0.0,"recent insider filings, latest event 28 day(s) ago, recent insider filing activity for via"
2026-03-17T19:08:36Z,LAES,3.13,,,,,,,,,,,,,560406720,121649573.0,2.02,3.0,0.0,0.0,0.0,0.0,0.0,2,,0.0,,,,,2026-03-17,38548309.24,3.0,1.0,0.0,9.32,"unusual volume, multi-day volume expansion, elevated news flow, retail attention",,,,,,,,,,,,,,,,,,,0.0,0.0,Baseline Building,,1.0,no event-intel signals; SEC=no recent Form 4 filings; SAM=SAM_API_KEY not set; Congress=HOUSE_PTR_CSV not set
2026-03-17T19:09:27Z,SOFI,17.08,,,,,,,,,"buy, form4, insider, open_market_buy, open_market_sale, option_exercise, parsed, sell, tax_withholding",,,,21800634368,1254528060.0,1.84,2.5,0.0,0.0,0.0,0.0,0.0,1,,8.45,,,,,2026-03-17,2153346491.13,3.0,1.0,0.0,8.31,"multi-day volume expansion, elevated news flow, retail attention",,,,,,,,,,,,,,,,,,,3.38,0.0,No Baseline,,0.0,"meaningful insider filing activity, latest event 4 day(s) ago, insider accumulation detected for sofi"
2026-03-17T19:09:10Z,PEPG,5.09,,,,,,,,,"buy, form4, insider, open_market_sale, parsed, sell",,,,351796864,36971152.0,1.85,0.0,0.0,0.0,0.0,1.0,0.0,1,,7.47,,,,,2026-03-17,6371438.23,2.87,1.0,0.0,7.96,"multi-day volume expansion, retail attention",,,,,,,,,,,,,,,,,,,2.99,0.0,No Baseline,,0.0,"meaningful insider filing activity, latest event 11 day(s) ago, insider selling detected for pepg"
2026-03-17T19:08:36Z,IRWD,3.28,,,,,,,,,"buy, form4, insider, open_market_sale, parsed, sell",,,,533396352,119176062.0,2.87,0.5,0.0,0.0,0.0,0.0,0.0,1,,8.45,,,,,2026-03-17,30112256.93,3.0,1.0,0.0,7.95,"unusual volume, multi-day volume expansion, retail attention",,,,,,,,,,,,,,,,,,,3.38,0.0,No Baseline,,0.0,"meaningful insider filing activity, latest event 5 day(s) ago, insider accumulation detected for irwd"
